Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
The Job Lot,The daily troubles of everyone who works at the job centre.,30,Comedy,"Sarah Hadland, Russell Tovey, Angela Curran, Jo Enright",7.1,1509,2013– 
Dirk Gently,Holistic detective Gently relies on the universe to unravel mysteries based on the 'interconnectedness of all things'.,30,"Comedy, Crime, Sci-Fi","Stephen Mangan, Darren Boyd, Lisa Jackson, Jason Watkins",7.7,2940,2010–2012
Boku dake ga inai machi,"After finding his mom killed, Satoru's time-traveling ability takes him back 18 years for a chance to prevent her death and those of three classmates.",12,"Drama, Fantasy, Mystery","Yûki Furukawa, Tomoka Kurotani, Reo Uchikawa, Brenda Joan Wong",7.9,3153,2017
The Voice,Four famous musicians search for the best voices in America and will mentor these singers to become artists. America will decide which singer will be worthy of the grand prize.,28,"Game-Show, Music, Reality-TV","Blake Shelton, Carson Daly, Adam Levine, Christina Aguilera",6.5,11700,2011– 
Island of Bryan,The Baeumler family relocates to the Bahamas with the hope of renovating and opening a beachfront resort.,42,"Adventure, Family, Reality-TV","Bryan Baeumler, Sarah Baeumler, Charlotte Baeumler, Lincoln Baeumler",6.9,207,2019– 
Class,"The sixth formers of Coal Hill Academy all have their own secrets and desires. They have to deal with the stresses of everyday life including friends, parents, school work, sex, and sorrow, but also the horrors that come from time travel.",22,"Drama, Sci-Fi","Katherine Kelly, Greg Austin, Jordan Renzo, Fady Elsayed",6.9,4003,2016
Second Chance,A billionaire bio-engineer brings a dead police officer back to life.,30,"Drama, Sci-Fi","Robert Kazinsky, Dilshad Vadsaria, Adhir Kalyan, Ciara Bravo",7.5,11775,I 2016
El Final del Paraíso,Catalina Santana's new mission will force her to face demons that threaten to destroy her and her family.,30,"Action, Drama","Carmen Villalobos, Kimberly Reyes, Fabián Ríos, Gregorio Pernía",5.6,153,2019– 
Whitney,"A girl, a guy, and their friends are twenty-somethings living in Chicago.",2,Comedy,"Whitney Cummings, ""Chris DElia"", Rhea Seehorn, Zoe Lister-Jones",5.7,12489,2011–2013
Forbidden Science,"Forbidden Science is a unique blend of noir science fiction and erotic programming combining intelligent scripts, attractive characters with great production value. Set in the near future, ...                ",22,"Drama, Fantasy, Mystery","Vanessa Broze, Joanne Alderson, Levi Freeman, Noelle DuBois",5.4,602,2009– 
Good Mythical Morning,"This famous YouTube morning talk show created by Rhett McLaughlin and Charles Lincoln (Link) Neal contains loads of laughter and insanity, known for this quote: ""We do this, so you don't have to.""",30,"Comedy, Family, Talk-Show","Rhett McLaughlin, Link Neal, Stevie Wynne Levine, Chase Hilt",8.6,1761,2012– 
Jamie Johnson,Jamie Johnson is a 12 year old boy who dreams of becoming a famous footballer. It may be the fantasy of most boys that age but Jamie has the talent to make his dreams come true. If only he ...                ,24,"Family, Sport","Louis Dunn, Jonnie Kimmins, Patrick Ward, Tim Dantay",6.6,118,2016– 
Cold Courage,Two young Finnish women in London are drawn inexorably together via the Studio - a clandestine group dedicated to bringing justice to those beyond the law.,40,"Crime, Thriller","Sofia Pekkari, Pihla Viitala, John Simm, Arsher Ali",7.2,1380,2020
Hostages,"Four masked men break into the Anand family home, taking them hostage. Pushed into a do-or-die situation, Dr. Mira Anand has to make a choice. Will she take a life or save lives?",90,"Crime, Drama, Mystery","Ronit Roy, Tisca Chopra, Mohan Kapur, Aashim Gulati",6.9,4549,2019– 
Taarak Mehta Ka Ooltah Chashmah,"The day-to-day happenings of Gokuldham Society and its members, who live, celebrate and often face problems together.",21,"Comedy, Family","Dilip Joshi, Disha Vakani, Amit Bhatt, Sailesh Lodha",8.1,8594,2008– 
Pulling,"Donna has a drunken revelation on her hen night and decides that she has been missing out on the single life. So with just days to go, she calls off her wedding to fiancé Karl and moves in ...                ",60,"Comedy, Romance","Sharon Horgan, Tanya Franks, Rebekah Staton, Cavan Clerkin",8.0,1337,2006–2009
Men at Work,Comedy following the misadventures of four buddies who work together at a magazine.,22,"Comedy, Drama, Romance","Danny Masterson, Michael Cassidy, Adam Busch, James Lesure",7.1,8100,2012–2014
Princess Rap Battle,Famous fictional females face off.,22,"Short, Comedy, Musical","Whitney Avalon, Alyssa Preston, Ryan McCartan, ""Jim OHeir""",8.1,474,2014– 
101 Dalmatian Street,"This series follows the lives of Delilah and Doug, descendants of Pongo and Perdita, and their 99 dalmatian pups at 101 Dalmatian Street, Camden Town.",42,"Animation, Comedy, Family","Josh Brener, Michaela Dietz, Bert Davis, Abigail Zoe Lewis",6.2,247,2018–2020
The Chef Show,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.",60,Documentary,"Jon Favreau, Roy Choi, Aaron Franklin, Andrew Rea",8.2,4361,2019– 
Gôruden taimu,"Banri Tada is a freshman at a Tokyo law school. After an accident, he suffers severe memory loss. Despite the incident, he befriends fellow freshman, Mitsuo Yanagisawa, which leads him to the beautiful, yet obsessive, Kouko Kaga.",43,"Animation, Comedy, Drama","Yui Horie, Makoto Furukawa, Mike Haimoto, Ai Kayano",7.6,2504,2013– 
Mortel,A group of French teenagers are bound together by a supernatural force.,30,"Crime, Drama, Fantasy","Ryan Cargill, Georgina Elizabeth Okon, Carl Malapa, Némo Schiffman",6.6,905,2019
Capitaine Marleau,"Beneath her eccentric appearance, Captain Marleau is a formidable detective. Her Sherlock Holmes deerstalker cap, her character, her unusual appearance, her humor, her unpredictable ...                ",26,"Comedy, Crime, Drama","Corinne Masiero, Jean-Claude Drouot, Aymeric Demarigny, Jacques Spiesser",6.8,364,2014– 
Hot Sluts,"Endless cleavage, bitchy girl fights, and an 800-pound disco ball, all in one slutty nightclub.",45,Comedy,"Alison Brie, Angela Sarafyan, Beth Dover, Shvona Lavette Chung",5.4,201,2009
Yasamayanlar,"The story will begin in Istanbul in the 1800s and stretch daily. Mia will work with young rebels to destroy Dmitry, which will cross the road at a luxurious nightclub in Istanbul.",60,"Action, Adventure, Drama","Elçin Sangu, Kerem Bürsin, Birkan Sokullu, Selma Ergeç",5.3,2672,2018
Undateable,"A womanizer helps his sister, a bar owning roomie and his 3 friends with well needed dating advice.",30,Comedy,"""Chris DElia"", Brent Morin, Bianca Kajlich, Ron Funches",7.3,8358,2014–2016
Spicks and Specks,Adam Hills hosts this lighthearted music quiz show.The two teams are captained by Myf Warhurst and Alan Brough.,22,"Comedy, Game-Show, Music","Adam Hills, Alan Brough, Myf Warhurst, ""Dave ONeil""",8.0,1020,2005–2021
Der Usedom-Krimi,The Usedom thriller.,22,"Crime, Drama","Max Hopp, Rainer Sellien, Katrin Saß, Peter Schneider",6.8,126,2014– 
Thunderbirds Are Go,"In the future, the Tracy family run a private mechanized emergency response service.",25,"Animation, Action, Adventure","Thomas Brodie-Sangster, Rasmus Hardiker, David Menkin, Kayvan Novak",6.8,1496,2015–2020
The Returned,A small town's residents are stunned when recently deceased locals begin returning from the dead. What should be a miracle soon becomes a nightmare.,30,"Drama, Fantasy, Horror","Kevin Alejandro, Agnes Bruckner, India Ennenga, Sandrine Holt",7.1,11529,2015
River City,"The lives of people living in Glasgow, Scotland.",46,"Drama, Family","Scott Vickers, Gary Lamont, Rian Gordon, Holly Jack",5.9,240,2002– 
Married to Medicine,"The ladies of Atlanta's exclusive medical inner circle return with more patients, less patience and a few heart palpitations along the way.",10,Reality-TV,"Quad Webb-Lunceford, Jacqueline Walters, Simone Whitmore, Mariah Huq",5.3,300,2013– 
I'm in the Band,A teenager becomes lead guitarist for his favorite washed up rock band trying to make a comeback. They let him be lead guitarist in exchange for letting them live in his house in the suburbs.,30,"Comedy, Family, Music","Logan Miller, Steve Valentine, Stephen Full, Greg Baker",6.6,2189,2009–2011
Two Pints of Lager and a Packet of Crisps,The lives and loves of five friends in the Northern town of Runcorn.,25,Comedy,"Will Mellor, Natalie Casey, Sheridan Smith, Kathryn Drysdale",7.1,3881,2001–2011
Terriers,"Ex-cop and recovering alcoholic Hank Dolworth partners with his best friend, former criminal Britt Pollack, in an unlicensed private investigation business.",29,"Comedy, Crime, Drama","Donal Logue, Michael Raymond-James, Laura Allen, Kimberly Quinn",8.4,10299,2010
666 Park Avenue,"At the 203 apartments Drake, NYC, residents are granted one wish - any wish. But beware of the price. There's something supernatural and evil about The Drake that only the owners, Gavin and Olivia. know about/control.",43,"Drama, Fantasy, Horror","Rachael Taylor, Dave Annable, Robert Buckley, Samantha Logan",6.8,17397,2012–2013
Animals.,"Whether it's lovelorn rats, gender-questioning pigeons or aging bedbugs in the midst of a midlife crisis, the awkward small talk, moral ambiguity and existential woes of non-human urbanites prove startlingly similar to our own.",38,"Animation, Comedy","Phil Matarese, Mike Luciano, Neil Casey, Katie Aselton",7.3,3493,2016–2018
Deadbeat,"Kevin is a medium for hire, who attempts to solve various ghosts' unresolved problems, so that they can move on to a final resting place, occasionally with the help of his best friend and drug dealer, Roofie.",30,Comedy,"Tyler Labine, Lucy DeVito, Brandon T. Jackson, Cat Deeley",7.4,4511,2014–2016
The Hillywood Show,"The Hillywood Show® is the brainchild of internet celebrities, comedy sister duo Hilly & Hannah Hindi. Each parody features song & dance parodies of blockbuster films such as The Lord Of ...                ",60,"Short, Comedy, Music","Hilly Hindi, Hannah Hindi, Drew Lorentz, Osric Chau",8.6,364,2006– 
Grandfathered,A confirmed bachelor discovers he's a dad--and a grandfather.,24,Comedy,"John Stamos, Paget Brewster, Josh Peck, Christina Milian",6.9,6110,2015–2016
Hello Mini,"A thriller drama series, revolving around Rivanah Bannerjee, an independent girl, living alone in Mumbai. She has the perfect life: doting parents, a loving boyfriend, and a great job. But ...                ",22,Thriller,"Anuja Joshi, Mrinal Dutt, Anshul Pandey, Anjuman Saxena",9.0,6690,2019– 
Still Open All Hours,"Having inherited the shop from his uncle, it's business as usual for Granville at Arkwright's corner shop.",60,Comedy,"James Baxter, Stephanie Cole, Brigit Forsyth, David Jason",6.4,1396,2013– 
Diablo Guardián,Violetta is bored with her life in Mexico and runs away to New York with a bag full of money.,22,"Action, Drama","Paulina Gaitan, Adrian Ladron, Andrés Almeida, Armando Espitia",6.2,574,2018–2019
13 Geboden,A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,30,"Crime, Mystery, Thriller","Dirk van Dijck, Marie Vinck, Karlijn Sileghem, Line Pillet",7.0,2044,2017–2018
Stargate Origins,Young Catherine Langford embarks on an unexpected adventure to unlock the mystery of what lies beyond the Stargate in order to save the Earth from darkness.,60,"Short, Action, Adventure","Ellie Gall, Aylam Orian, Philip Alexander, Shvan Aladdin",3.9,5048,2018
Curious George,Follows the mischievous adventures of a Monkey by the name of George.,11,"Animation, Short, Adventure","Jeff Bennett, Frank Welker, Rino Romano, Jim Cummings",7.2,1725,2006–2021
Sangatsu no Lion,"A 17 year old socially awkward orphaned shogi player, dealing with adult problems like financial difficulties, loneliness, and depression.",24,"Animation, Comedy, Drama","Kengo Kawanishi, Khoi Dao, Ai Kayano, Kana Hanazawa",8.4,1918,2016–2018
Home for Christmas,The constant comments on single life of 30 year old Johanne and society's expectations of the perfect family Christmas finally gets to her. Johanne starts a 24 day hunt for a partner to bring home for Christmas.,23,"Comedy, Drama, Romance","Ida Elise Broch, Gabrielle Leithaug, Hege Schøyen, Dennis Storhøi",7.7,10961,2019–2020
Ravenswood,Five strangers are connected by the curse that has plagued Ravenswood for generations.,29,"Drama, Horror","Nicole Gale Anderson, Tyler Blackburn, Steven Cabral, Brett Dier",6.5,8500,2013–2014
Rust Valley Restorers,"A restoration shop run by a team of colorful and charismatic characters use their impressive skills and experience to restore, trade and sell classic cars - transforming piles of rust into collectible car treasures.",30,Documentary,"Michael Daingerfield, Connor Hall, Mike Hall, Avery Shoaf",7.8,2298,2018– 
Craig Ross Jr.'s Monogamy,Four couples from all over the country travel to Los Angeles to undergo a new type of treatment called Swap Therapy to repair their broken marriages.,60,Drama,"Jill Marie Jones, Vanessa Simmons, Darius McCrary, Caryn Ward",7.1,300,2018– 
El Recluso,An American SPEC OPS infiltrates one of Mexico's toughest prisons in search of information on the whereabouts of an American politician's daughter.,45,"Drama, Thriller","Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar",7.0,2262,2018– 
Kobayashi-san Chi No Maid Dragon,"An office worker employs a kindhearted dragon to serve as her maid, and enters a world of comic misadventures.",22,"Animation, Comedy, Fantasy","Mutsumi Tamura, Yuuki Kuwahara, Maria Naganawa, Kerstin Julia Dietrich",7.7,2800,2017
Richie Rich,"Richie Rich is just a normal kid, except he has a trillion dollars. Following his overnight success, he moves his father and his sister into his newly built mansion. He also shares his success with his two best friends, Darcy and Murray.",11,Comedy,"Jake Brennan, Lauren Taylor, Joshua Carlon, Jenna Ortega",3.3,855,2015
Bruh,"The lives of a group of 30-something Black men as they explore the world of dating, careers and friendship in a present-day society.",44,Comedy,"Mahdi Cocci, Alyssa Goss, Phillip Mullings Jr., Monti Washington",4.1,175,2019– 
When Hope Calls,"Spinoff series of 'When Calls the Heart' centering on the lives of orphan siblings Lillian and Grace, who grow up apart but reunite later in adulthood in the early 1900s.",52,"Drama, Family, Romance","Morgan Kohan, Jocelyn Hudon, Ryan-James Hatanaka, Greg Hovanessian",8.1,542,2019– 
Press Your Luck,"A game of wits, strategy and high stakes as contestants try to avoid the iconic WHAMMY for a chance at life-changing cash and prizes.",80,Game-Show,"Elizabeth Banks, Neil Ross, Cathy Cisneros, Theodore Cooper",6.2,267,2019– 
Dino Dana,"Dana is a 9-year old girl who loves dinosaurs. Her life changes forever when she's given a Dino Field Guide, which not only teaches her new things about dinosaurs, but gives her the power to imagine dinosaurs into real life.",140,"Short, Adventure, Comedy","Michela Luci, Saara Chaudry, Amish Patel, Nicola Correia-Damude",7.2,396,2017– 
Lady Dynamite,"Series is based on what Maria has accepted to be ""her life."" The occasionally surreal episodes, refracted across multiple periods of the actor/comedian's life, tell the story of a woman who loses - and then finds - herself.",60,Comedy,"Maria Bamford, Fred Melamed, Mary Kay Place, Ana Gasteyer",7.4,3350,2016–2017
Strangers,Jonah Mulray is a professor whose world comes crashing down when his wife is killed in a car crash in Hong Kong.,43,"Crime, Drama, Thriller","John Simm, Anthony Chau-Sang Wong, Katie Leung, Rosalind Halstead",6.4,2280,2018
Chowder,"In Marzipan City, the young, excitable food-loving Chowder is the apprentice of Mung Daal, a very old chef who runs a catering company with his wife, Truffles and assistant, Shnitzel.",44,"Animation, Short, Adventure","Nicky Jones, Dwight Schultz, John DiMaggio, Tara Strong",7.3,12101,2007–2010
Kureimoa,"In a world rife with deadly creatures called ""youma"", a young silver eyed woman, Clare, works on behalf of an organization that trains female youma halfbreeds into warriors with the ability...                ",65,"Animation, Action, Adventure","Todd Haberkorn, Stephanie Young, Houko Kuwashima, Cherami Leigh",8.0,12487,2007
The Last Kids on Earth,"Young teenager Jack Sullivan and a group of friends live in a decked-out tree house, playing video games, eating candy, and fighting zombies in the aftermath of a monster apocalypse.",41,"Animation, Adventure, Comedy","Nick Wolfhard, Montse Hernandez, Garland Whitt, Charles Demers",7.4,977,2019– 
Shaman Kingu,"SHAMAN KING follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to be the next Shaman King.",45,"Animation, Action, Adventure","Oliver Wyman, Andrew Rannells, Michael Sinterniklaas, Megumi Hayashibara",8.1,5331,2001–2005
Hello Ladies,A gawky Englishman comes to Los Angeles to find the woman of his dreams.,50,Comedy,"Stephen Merchant, Christine Woods, Nate Torrence, Kevin Weisman",7.4,11777,2013–2014
Lehiyot Ita,"Noa Holander has it all, she's beautiful, she models, she acts for fun and is one of the richest women in Israel. Over the past two years, she has had a highly publicized affair with Pete ...                ",60,"Comedy, Romance","Avraham Aviv Alush, Rotem Sela, Mark Ivanir, Hila Saada",8.0,1092,2013– 
Dani Who?,The disappearance of a girl in the fictitious town of San Gregorio brings together a group of classmates who thought the only thing they had in common was their school.,35,"Mystery, Sci-Fi, Thriller","Julia Urbini, Rodrigo Murray, Silvia Carusillo, Yoshira Escárrega",8.1,89,2019– 
Farouk Omar,"The life of Umar Ibn Al-Khattab, the second Caliph of Islamic State, before and after he embraces in Islam.",11,"Biography, Drama, History","Samer Ismail, Assad Khalifa, Fethi Haddaoui, Mohamad S. Alrefai",9.2,4597,2012
Pete the Cat,"A musically driven series about exploring one's world and trying new things while being smart, accepting and optimistic.",24,"Animation, Comedy, Family","Jacob Tremblay, Don Was, Alyson Stoner, Atticus Shaffer",7.6,218,2017– 
Total Dramarama,Spin-off of ,60,"Animation, Comedy, Family","Drew Nelson, Wyatt White, Deven Christian Mack, Scott McCord",4.0,518,2018– 
No te puedes esconder,"A nurse and her daughter flee her husband's drug-trafficking past in Mexico and assume new identities in Spain, but still face danger in Madrid.",43,"Action, Crime","Blanca Soto, Eduardo Noriega, Iván Sánchez, Maribel Verdú",6.5,872,2019– 
TharnType,"Type is a freshman that seems like a warm person but is homophobic because of what happened in his childhood. His freshman life turns upside down when he gets a roommate, Tharn. What can possibly be the outcome of their story?",23,Romance,"Suppasit Jongcheveevat, Kanawut Traipipattanapong, Suttinut Uengtrakul, Kittipat Kaewcharoen",8.3,833,2019– 
Los hombres de Paco,"Follows police officer Francisco ""Paco"" Miranda and his men through funny cases.",22,"Action, Adventure, Comedy","Paco Tous, Pepón Nieto, Carlos Santos, Neus Sanz",7.0,1964,2005– 
Kördügüm,Ali Nejat Karasu is a former race-driver and a playboy turned into a businessman. He runs Karas Holdings which is part of a group his father built while making a fortune in ship building. ...                ,23,Drama,"Ibrahim Celikkol, Alican Yücesoy, Belçim Bilgin, Rojda Demirer",6.6,954,2016– 
The Fix,"An L.A. prosecutor moves to Washington after losing a high-profile double murder case, but when the killer strikes again, she returns to seek justice under her own terms.",23,"Crime, Drama, Mystery","Robin Tunney, Adam Rayner, Merrin Dungey, Breckin Meyer",6.6,2704,2019
Wonderland,The lives of the residents living in a city apartment block in Sydney.,60,Drama,"Anna Bamford, Michael Dorman, Emma Lung, Tracy Mann",7.7,1060,2013–2015
Fear Thy Neighbor,True crime show about conflicts between neighbors that go terribly wrong.,15,"Action, Crime, Drama","Tish Iceton, David Bacque, Craig Cyr, Drew Riedstra",7.6,580,2014–2021
Gold Rush: Dave Turin's Lost Mine,"Dave Turin visits several disused gold mines around the Western United States and decides which mine to get up and running, turning it into a profitable, working mine.",43,Reality-TV,"Dave Turin, Paul Christie, Jason Sanchez, Chris Taylor",6.7,240,2019– 
Good Doctor,A medical drama about a surgical resident with autistic disorder and savant syndrome.,42,"Drama, Romance","Joo Won, Moon Chae-Won, Sang-uk Joo, Gyo-jin In",8.1,1516,2013
Marseille,"A tale of power, corruption and redemption set against the rich backdrop of the French port city of Marseille.",60,Drama,"Karen Strassman, Anne Yatco, Gérard Depardieu, Benoît Magimel",6.9,4774,2016–2018
Ashes of Love,"Flower Goddess dies giving birth to her daughter, Jin Mi. She was imprisoned within Shui Jing until Xu Feng, heavenly emperor's second sun enters it mistakenly. After living together for 100years he falls in love with that ignorant Jin Mi.",120,"Comedy, Fantasy, Romance","Yuqi Chen, Allen Deng, Zhonghua He, Liao Jingfeng",8.4,1517,2018
Beau Séjour,"A young woman wakes to discover her own murder on her hands. Struggling to get help and solve the case from five locals who are somehow involved with the night of her death, she uncovers so much more.",60,"Crime, Drama, Mystery","Lynn Van Royen, Inge Paulussen, Jan Hammenecker, Kris Cuppens",7.7,3712,2016– 
RuPaul's Drag Race UK,UK version of RuPaul's hit reality competition show where RuPaul searches for the country's next drag superstar.,24,"Game-Show, Reality-TV","Michelle Visage, RuPaul, Graham Norton, Lawrence Chaney",8.4,2462,2019– 
Eojjeoda Balgyeonhan Haru,"What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously.",30,"Comedy, Fantasy, Romance","Kim Hye-Yoon, Ro-Woon Kim, Jae-Wook Lee, Na-Eun Lee",7.9,1683,2019
The Great British Sewing Bee,Amateur sewers take on challenges as they compete to be named Britain's best home sewer.,60,Reality-TV,"Patrick Grant, Esme Young, Joe Lycett, Claudia Winkleman",7.7,378,2013– 
Scott The Woz,"Scott The Woz is an comedic video game centric variety show that focuses on reviews, editorials, retrospectives, and much, much more.",40,Comedy,"Scott Wozniak, Sam Essig, Eric Turney, Dominic Mattero",9.1,436,2017– 
Mo Dao Zu Shi,Wei Wu Xian and Lan Wang Ji meet during a magical training and start working together to solve many mysteries.,60,"Animation, Action, Adventure","Jiang Bian, Kei Gambit, Ketsu",8.6,1068,2018– 
Motive,A feisty Vancouver homicide detective tracks down the most cunning of killers by trying to figure out the often unexpected motive to the crime.,90,"Crime, Drama, Mystery","Kristin Lehman, Louis Ferreira, Brendan Penny, Lauren Holly",7.4,4964,2013–2016
The Chase,"A Game Show where contestants must compete against 'The Chasers,' a cast of the show's eccentric and pompous know-it-all characters, in a variety of questions in order to win money by answering more of them correctly than the Chasers.",30,"Comedy, Drama, Game-Show","Bradley Walsh, Shaun Wallace, Mark Labbett, Anne Hegerty",7.0,1794,I 2009– 
An Idiot Abroad,Brit ,60,"Documentary, Adventure, Comedy","Karl Pilkington, Ricky Gervais, Stephen Merchant, Luke Campbell",8.3,30471,2010–2012
Supernatural: The Animation,"After losing their mother to a demon, two brothers grow up fighting supernatural beings.",21,"Animation, Drama, Fantasy","Jared Padalecki, Annakin Slayd, Hiroki Touchi, Yûya Uchida",7.4,1823,2011
Chosen,"""Chosen"" follows Ian Mitchell -- a husband, father and lawyer -- who awakens one morning to discover a mysterious box on his doorstep containing a loaded gun and a photo of a stranger he ...                ",42,"Action, Drama, Thriller","Caitlin Carmichael, Chad Michael Murray, Nicky Whelan, Sarah Roemer",7.4,3519,2013–2014
Yo Gabba Gabba!,"Yo Gabba Gabba! is a fun live-action program for young children. Join our host DJ Lance Rock as he introduces us to friendly toy monsters in a magical land full of music, dance, and color.",120,"Comedy, Drama, Family","Lance Robertson, Amos Watene, Adam Deibert, Emma Penrose",6.8,1341,2007–2020
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"The romantic comedy begins when a love letter arrives out of the blue for Keiki Kiryuu, an ordinary high school student who has never had a girlfriend as long as he has been alive. The ...                ",25,"Animation, Comedy, Drama","Clifford Chapin, Jordan Dash Cruz, Kristen McGuire, Emily Neves",6.2,443,2019– 
The Village,Residents of a unique apartment building in Greenwich Village build a bonded family of friends and neighbors.,30,Drama,"Moran Atias, Dominic Chianese, Warren Christie, Frankie Faison",7.5,1947,I 2019
The Story of Tracy Beaker,"Tracy Beaker is a 10 year old girl who has been placed in a children's home. Tracy makes new friends along the way, and causes mischief where ever she goes.",30,"Comedy, Drama, Family","Dani Harmer, Montanna Thompson, Ciaran Joyce, Ben Hanson",6.6,1467,2002–2006
Red Band Society,"A group of teenagers live together as patients at a hospital's pediatric ward and learn how to deal with their illnesses, the experiences that they have, and the people that they meet.",85,"Comedy, Drama","Octavia Spencer, Dave Annable, Astro, Ciara Bravo",7.9,9531,2014–2015
The InBESTigators,"When Maudie, a ten-year-old puzzle prodigy, forms a detective agency with her classmates Ezra, Ava and Kyle, no crime is left unsolved.",30,"Comedy, Crime, Family","Abby Bergman, Anna Cooke, Aston Droomer, Jamil Smyth-Secka",8.1,526,2019– 
Frequency,"A police detective in 2016 discovers that she is able to communicate with her father via a ham radio, despite the fact that he died in 1996.",11,"Drama, Fantasy, Mystery","Peyton List, Riley Smith, Devin Kelley, Mekhi Phifer",7.5,12949,2016–2017
Late Night with Seth Meyers,"This is the adaptation of the famous series Shameless. Filiz, a protagonist who has been struggling to survive in one of the poor neighborhoods of the city is the oldest child of the family...                ",120,"Comedy, Talk-Show","Seth Meyers, Fred Armisen, The 8G Band, Ben Warheit",6.1,6548,2014– 
Bizim Hikaye,"A gripping family drama and entrepreneurial fable, set in a post-war Paris fashion house. It exposes the grit behind the glamour of a rising business, spearheaded by two clashing brothers.",23,"Comedy, Drama, Romance","Hazal Kaya, Burak Deniz, Reha Özcan, Yagiz Can Konyali",6.4,2307,2017–2019
The Collection,"It's Christmas in the 1980s, Adolf Hitler is alive and has two Yuletide wishes: Danger 5 dead and the world under his Christmas tree.",nan,"Drama, History, Romance","Richard Coyle, Mamie Gummer, Tom Riley, Alix Poisson",7.1,1990,2016
Danger 5,No Small Parts is a fan-made documentary web series about character actors. Most episodes focus on a specific character actor and chronicle their life and career in the entertainment industry.,nan,"Action, Adventure, Comedy","David Ashby, Sean James Murphy, Natasa Ristic, Amanda Simons",8.4,4307,2011–2015
No Small Parts,Contestants put their miniature golf-and physical-skills to the test as they face off in out-of-this-world challenges on a supersized course.,nan,"Documentary, Biography","Brandon Hardesty, Ashwini Kulkarni, Shweta Tripathi, Wesley Mann",7.9,879,2014– 
Holey Moley,A programmer's mysterious disappearance leads to the reunion of old friends and the discovery that the strange stories she left behind may hold clues to an impending technological crisis.,nan,"Game-Show, Reality-TV","Joe Tessitore, Rob Riggle, Stephen Curry, Edgar Gonzalez",6.9,783,2019– 
Dark/Web,"Mal, Jen and their two children swap rainy Yorkshire for a new life running a booming RV park in Florida, but it soon becomes clear that they aren't going to be living the dream they had hoped for.",nan,"Horror, Mystery, Thriller","Brian Elerding, Lana McKissack, Michael Nardelli, Sibongile Mlambo",5.5,656,2019– 
Living the Dream,"Police investigator Irene Huss lives in Gothenburg, Sweden, and tries to balance between murder investigations and family life.",nan,"Comedy, Drama","Philip Glenister, Lesley Sharp, Rosie Day, ""Brenock OConnor""",6.7,518,I 2017–2019
Irene Huss,"Follows a perky head cheerleader named Bella whose life in Texas takes an unexpected twist when she becomes the new quarterback for her school team, the Bulldogs.",nan,"Crime, Drama, Thriller","Angela Kovacs, Reuben Sallmander, Lars Brandeby, Dag Malmberg",6.6,328,2007–2011
Bella and the Bulldogs,"Our world is dying; a pair of scientists attempting to create the world first teleporter manage to create something even more powerful: time machines. But their actions have unintended consequences, with the butterfly effect taking hold.",nan,"Comedy, Family, Sport","Brec Bassinger, Coy Stewart, Jackie Radinsky, Buddy Handleson",5.4,1484,2015–2016
Dystopia,In this show a group of chefs will compete in a series of challenges (cooking) to impress the judges. And to be crowned MasterChef,nan,Sci-Fi,"Michael Copon, Simon Phillips, She, Eve Mauro",4.9,412,2019– 
MasterChef,Kevin Hart and other celebrities play a comic fictionalized version of themselves in this parody of similarly named reality shows. Episodes often feature Kevin Hart's attempts to gain celebrity and his jealousy of his friends.,nan,Reality-TV,"Jordi Cruz, Pepe Rodríguez, Samantha Vallejo-Nágera, Eva González",6.8,186,2013– 
Real Husbands of Hollywood,"In a futuristic world where gaming is the top sport, a teenager attends a school which specializes in a curriculum of video games in each genre.",nan,Comedy,"Kevin Hart, Duane Martin, Nick Cannon, Cynthia Kaye McWilliams",7.6,4020,2013– 
Video Game High School,"26 sums of money, 26 suitcases and one question: Deal or no deal",nan,"Action, Romance, Sci-Fi","Josh Blaylock, Ellary Porterfield, Johanna Braddy, Jimmy Wong",7.6,12816,2012–2014
Deal or No Deal,Tskune accidentally gets on a bus to a school of monsters.,nan,"Comedy, Family, Game-Show","Howie Mandel, Patricia Kara, Megan Abrigo, Sara Bronson",5.0,3683,2005–2019
Rozario to banpaia,"Huge egos. Backbiting assistants. Screaming deadlines. Claudia ""Claude"" Casey has moved up in the secretarial world of television news, from permanent floater to the anchor's desk. It's a ...                ",nan,"Animation, Comedy, Fantasy","Daisuke Kishio, Nana Mizuki, Tia Lynn Ballard, Leah Clark",7.0,2655,2008
Less Than Perfect,"A story revolving around the life of therapist, Bill Pearson, and his family.",nan,Comedy,"Sara Rue, Zachary Levi, Andrea Parker, Andy Dick",7.0,3183,2002–2006
The Bill Engvall Show,Jen is an amateur sleuth solving murders. She has an antiques store supplied at garage sales etc.,nan,"Comedy, Family","Bill Engvall, Nancy Travis, Jennifer Lawrence, Graham Patrick Martin",5.6,1914,2007–2009
